"","date","hits","keyword","geo","time","gprop","category"
"64",2018-06-24,0,"electric cars","UZ","today+5-y","youtube",0
"65",2018-07-01,0,"electric cars","UZ","today+5-y","youtube",0
"66",2018-07-08,0,"electric cars","UZ","today+5-y","youtube",0
"67",2018-07-15,0,"electric cars","UZ","today+5-y","youtube",0
"68",2018-07-22,0,"electric cars","UZ","today+5-y","youtube",0
"69",2018-07-29,0,"electric cars","UZ","today+5-y","youtube",0
"70",2018-08-05,0,"electric cars","UZ","today+5-y","youtube",0
"71",2018-08-12,0,"electric cars","UZ","today+5-y","youtube",0
"72",2018-08-19,0,"electric cars","UZ","today+5-y","youtube",0
"73",2018-08-26,0,"electric cars","UZ","today+5-y","youtube",0
"74",2018-09-02,0,"electric cars","UZ","today+5-y","youtube",0
"75",2018-09-09,0,"electric cars","UZ","today+5-y","youtube",0
"76",2018-09-16,0,"electric cars","UZ","today+5-y","youtube",0
"77",2018-09-23,0,"electric cars","UZ","today+5-y","youtube",0
"78",2018-09-30,0,"electric cars","UZ","today+5-y","youtube",0
"79",2018-10-07,0,"electric cars","UZ","today+5-y","youtube",0
"80",2018-10-14,0,"electric cars","UZ","today+5-y","youtube",0
"81",2018-10-21,0,"electric cars","UZ","today+5-y","youtube",0
"82",2018-10-28,0,"electric cars","UZ","today+5-y","youtube",0
"83",2018-11-04,0,"electric cars","UZ","today+5-y","youtube",0
"84",2018-11-11,0,"electric cars","UZ","today+5-y","youtube",0
"85",2018-11-18,0,"electric cars","UZ","today+5-y","youtube",0
"86",2018-11-25,0,"electric cars","UZ","today+5-y","youtube",0
"87",2018-12-02,0,"electric cars","UZ","today+5-y","youtube",0
"88",2018-12-09,0,"electric cars","UZ","today+5-y","youtube",0
"89",2018-12-16,0,"electric cars","UZ","today+5-y","youtube",0
"90",2018-12-23,0,"electric cars","UZ","today+5-y","youtube",0
"91",2018-12-30,0,"electric cars","UZ","today+5-y","youtube",0
"92",2019-01-06,0,"electric cars","UZ","today+5-y","youtube",0
"93",2019-01-13,0,"electric cars","UZ","today+5-y","youtube",0
"94",2019-01-20,0,"electric cars","UZ","today+5-y","youtube",0
"95",2019-01-27,0,"electric cars","UZ","today+5-y","youtube",0
"96",2019-02-03,0,"electric cars","UZ","today+5-y","youtube",0
"97",2019-02-10,0,"electric cars","UZ","today+5-y","youtube",0
"98",2019-02-17,0,"electric cars","UZ","today+5-y","youtube",0
"99",2019-02-24,0,"electric cars","UZ","today+5-y","youtube",0
"100",2019-03-03,0,"electric cars","UZ","today+5-y","youtube",0
"101",2019-03-10,0,"electric cars","UZ","today+5-y","youtube",0
"102",2019-03-17,0,"electric cars","UZ","today+5-y","youtube",0
"103",2019-03-24,0,"electric cars","UZ","today+5-y","youtube",0
"104",2019-03-31,0,"electric cars","UZ","today+5-y","youtube",0
"105",2019-04-07,0,"electric cars","UZ","today+5-y","youtube",0
"106",2019-04-14,24,"electric cars","UZ","today+5-y","youtube",0
"107",2019-04-21,0,"electric cars","UZ","today+5-y","youtube",0
"108",2019-04-28,0,"electric cars","UZ","today+5-y","youtube",0
"109",2019-05-05,0,"electric cars","UZ","today+5-y","youtube",0
"110",2019-05-12,0,"electric cars","UZ","today+5-y","youtube",0
"111",2019-05-19,0,"electric cars","UZ","today+5-y","youtube",0
"112",2019-05-26,0,"electric cars","UZ","today+5-y","youtube",0
"113",2019-06-02,0,"electric cars","UZ","today+5-y","youtube",0
"114",2019-06-09,0,"electric cars","UZ","today+5-y","youtube",0
"115",2019-06-16,0,"electric cars","UZ","today+5-y","youtube",0
"116",2019-06-23,0,"electric cars","UZ","today+5-y","youtube",0
"117",2019-06-30,0,"electric cars","UZ","today+5-y","youtube",0
"118",2019-07-07,0,"electric cars","UZ","today+5-y","youtube",0
"119",2019-07-14,0,"electric cars","UZ","today+5-y","youtube",0
"120",2019-07-21,0,"electric cars","UZ","today+5-y","youtube",0
"121",2019-07-28,0,"electric cars","UZ","today+5-y","youtube",0
"122",2019-08-04,0,"electric cars","UZ","today+5-y","youtube",0
"123",2019-08-11,0,"electric cars","UZ","today+5-y","youtube",0
"124",2019-08-18,0,"electric cars","UZ","today+5-y","youtube",0
"125",2019-08-25,0,"electric cars","UZ","today+5-y","youtube",0
"126",2019-09-01,0,"electric cars","UZ","today+5-y","youtube",0
"127",2019-09-08,0,"electric cars","UZ","today+5-y","youtube",0
"128",2019-09-15,0,"electric cars","UZ","today+5-y","youtube",0
"129",2019-09-22,0,"electric cars","UZ","today+5-y","youtube",0
"130",2019-09-29,0,"electric cars","UZ","today+5-y","youtube",0
"131",2019-10-06,0,"electric cars","UZ","today+5-y","youtube",0
"132",2019-10-13,0,"electric cars","UZ","today+5-y","youtube",0
"133",2019-10-20,0,"electric cars","UZ","today+5-y","youtube",0
"134",2019-10-27,0,"electric cars","UZ","today+5-y","youtube",0
"135",2019-11-03,0,"electric cars","UZ","today+5-y","youtube",0
"136",2019-11-10,0,"electric cars","UZ","today+5-y","youtube",0
"137",2019-11-17,0,"electric cars","UZ","today+5-y","youtube",0
"138",2019-11-24,0,"electric cars","UZ","today+5-y","youtube",0
"139",2019-12-01,0,"electric cars","UZ","today+5-y","youtube",0
"140",2019-12-08,0,"electric cars","UZ","today+5-y","youtube",0
"141",2019-12-15,0,"electric cars","UZ","today+5-y","youtube",0
"142",2019-12-22,0,"electric cars","UZ","today+5-y","youtube",0
"143",2019-12-29,0,"electric cars","UZ","today+5-y","youtube",0
