"","date","hits","keyword","geo","time","gprop","category"
"134",2019-10-20,0,"electric cars","UZ","today+5-y","web",0
"135",2019-10-27,15,"electric cars","UZ","today+5-y","web",0
"136",2019-11-03,0,"electric cars","UZ","today+5-y","web",0
"137",2019-11-10,0,"electric cars","UZ","today+5-y","web",0
"138",2019-11-17,0,"electric cars","UZ","today+5-y","web",0
"139",2019-11-24,0,"electric cars","UZ","today+5-y","web",0
"140",2019-12-01,14,"electric cars","UZ","today+5-y","web",0
"141",2019-12-08,0,"electric cars","UZ","today+5-y","web",0
"142",2019-12-15,0,"electric cars","UZ","today+5-y","web",0
"143",2019-12-22,0,"electric cars","UZ","today+5-y","web",0
"144",2019-12-29,15,"electric cars","UZ","today+5-y","web",0
"145",2020-01-05,0,"electric cars","UZ","today+5-y","web",0
"146",2020-01-12,0,"electric cars","UZ","today+5-y","web",0
"147",2020-01-19,13,"electric cars","UZ","today+5-y","web",0
"148",2020-01-26,0,"electric cars","UZ","today+5-y","web",0
"149",2020-02-02,13,"electric cars","UZ","today+5-y","web",0
"150",2020-02-09,12,"electric cars","UZ","today+5-y","web",0
"151",2020-02-16,26,"electric cars","UZ","today+5-y","web",0
"152",2020-02-23,0,"electric cars","UZ","today+5-y","web",0
"153",2020-03-01,0,"electric cars","UZ","today+5-y","web",0
"154",2020-03-08,13,"electric cars","UZ","today+5-y","web",0
"155",2020-03-15,27,"electric cars","UZ","today+5-y","web",0
"156",2020-03-22,0,"electric cars","UZ","today+5-y","web",0
"157",2020-03-29,0,"electric cars","UZ","today+5-y","web",0
"158",2020-04-05,0,"electric cars","UZ","today+5-y","web",0
"159",2020-04-12,21,"electric cars","UZ","today+5-y","web",0
"160",2020-04-19,22,"electric cars","UZ","today+5-y","web",0
"161",2020-04-26,12,"electric cars","UZ","today+5-y","web",0
"162",2020-05-03,11,"electric cars","UZ","today+5-y","web",0
"163",2020-05-10,11,"electric cars","UZ","today+5-y","web",0
"164",2020-05-17,0,"electric cars","UZ","today+5-y","web",0
"165",2020-05-24,0,"electric cars","UZ","today+5-y","web",0
"166",2020-05-31,0,"electric cars","UZ","today+5-y","web",0
"167",2020-06-07,0,"electric cars","UZ","today+5-y","web",0
"168",2020-06-14,0,"electric cars","UZ","today+5-y","web",0
"169",2020-06-21,14,"electric cars","UZ","today+5-y","web",0
"170",2020-06-28,0,"electric cars","UZ","today+5-y","web",0
"171",2020-07-05,0,"electric cars","UZ","today+5-y","web",0
"172",2020-07-12,0,"electric cars","UZ","today+5-y","web",0
"173",2020-07-19,0,"electric cars","UZ","today+5-y","web",0
"174",2020-07-26,0,"electric cars","UZ","today+5-y","web",0
"175",2020-08-02,13,"electric cars","UZ","today+5-y","web",0
"176",2020-08-09,0,"electric cars","UZ","today+5-y","web",0
"177",2020-08-16,13,"electric cars","UZ","today+5-y","web",0
"178",2020-08-23,0,"electric cars","UZ","today+5-y","web",0
"179",2020-08-30,13,"electric cars","UZ","today+5-y","web",0
"180",2020-09-06,0,"electric cars","UZ","today+5-y","web",0
"181",2020-09-13,12,"electric cars","UZ","today+5-y","web",0
"182",2020-09-20,0,"electric cars","UZ","today+5-y","web",0
"183",2020-09-27,0,"electric cars","UZ","today+5-y","web",0
"184",2020-10-04,0,"electric cars","UZ","today+5-y","web",0
"185",2020-10-11,0,"electric cars","UZ","today+5-y","web",0
"186",2020-10-18,11,"electric cars","UZ","today+5-y","web",0
"187",2020-10-25,0,"electric cars","UZ","today+5-y","web",0
"188",2020-11-01,0,"electric cars","UZ","today+5-y","web",0
"189",2020-11-08,34,"electric cars","UZ","today+5-y","web",0
"190",2020-11-15,0,"electric cars","UZ","today+5-y","web",0
"191",2020-11-22,0,"electric cars","UZ","today+5-y","web",0
"192",2020-11-29,11,"electric cars","UZ","today+5-y","web",0
"193",2020-12-06,0,"electric cars","UZ","today+5-y","web",0
"194",2020-12-13,22,"electric cars","UZ","today+5-y","web",0
"195",2020-12-20,11,"electric cars","UZ","today+5-y","web",0
"196",2020-12-27,13,"electric cars","UZ","today+5-y","web",0
"197",2021-01-03,0,"electric cars","UZ","today+5-y","web",0
"198",2021-01-10,0,"electric cars","UZ","today+5-y","web",0
"199",2021-01-17,0,"electric cars","UZ","today+5-y","web",0
"200",2021-01-24,11,"electric cars","UZ","today+5-y","web",0
"201",2021-01-31,11,"electric cars","UZ","today+5-y","web",0
"202",2021-02-07,11,"electric cars","UZ","today+5-y","web",0
"203",2021-02-14,0,"electric cars","UZ","today+5-y","web",0
"204",2021-02-21,0,"electric cars","UZ","today+5-y","web",0
"205",2021-02-28,22,"electric cars","UZ","today+5-y","web",0
"206",2021-03-07,21,"electric cars","UZ","today+5-y","web",0
"207",2021-03-14,10,"electric cars","UZ","today+5-y","web",0
"208",2021-03-21,11,"electric cars","UZ","today+5-y","web",0
"209",2021-03-28,11,"electric cars","UZ","today+5-y","web",0
"210",2021-04-04,33,"electric cars","UZ","today+5-y","web",0
"211",2021-04-11,11,"electric cars","UZ","today+5-y","web",0
"212",2021-04-18,0,"electric cars","UZ","today+5-y","web",0
"213",2021-04-25,0,"electric cars","UZ","today+5-y","web",0
"214",2021-05-02,0,"electric cars","UZ","today+5-y","web",0
"215",2021-05-09,0,"electric cars","UZ","today+5-y","web",0
"216",2021-05-16,23,"electric cars","UZ","today+5-y","web",0
"217",2021-05-23,0,"electric cars","UZ","today+5-y","web",0
"218",2021-05-30,0,"electric cars","UZ","today+5-y","web",0
"219",2021-06-06,0,"electric cars","UZ","today+5-y","web",0
"220",2021-06-13,12,"electric cars","UZ","today+5-y","web",0
"221",2021-06-20,0,"electric cars","UZ","today+5-y","web",0
"222",2021-06-27,25,"electric cars","UZ","today+5-y","web",0
"223",2021-07-04,0,"electric cars","UZ","today+5-y","web",0
"224",2021-07-11,0,"electric cars","UZ","today+5-y","web",0
"225",2021-07-18,13,"electric cars","UZ","today+5-y","web",0
"226",2021-07-25,0,"electric cars","UZ","today+5-y","web",0
"227",2021-08-01,0,"electric cars","UZ","today+5-y","web",0
"228",2021-08-08,12,"electric cars","UZ","today+5-y","web",0
"229",2021-08-15,12,"electric cars","UZ","today+5-y","web",0
"230",2021-08-22,13,"electric cars","UZ","today+5-y","web",0
"231",2021-08-29,25,"electric cars","UZ","today+5-y","web",0
"232",2021-09-05,0,"electric cars","UZ","today+5-y","web",0
"233",2021-09-12,11,"electric cars","UZ","today+5-y","web",0
"234",2021-09-19,0,"electric cars","UZ","today+5-y","web",0
"235",2021-09-26,12,"electric cars","UZ","today+5-y","web",0
"236",2021-10-03,11,"electric cars","UZ","today+5-y","web",0
"237",2021-10-10,0,"electric cars","UZ","today+5-y","web",0
"238",2021-10-17,21,"electric cars","UZ","today+5-y","web",0
"239",2021-10-24,10,"electric cars","UZ","today+5-y","web",0
"240",2021-10-31,0,"electric cars","UZ","today+5-y","web",0
"241",2021-11-07,20,"electric cars","UZ","today+5-y","web",0
"242",2021-11-14,0,"electric cars","UZ","today+5-y","web",0
"243",2021-11-21,9,"electric cars","UZ","today+5-y","web",0
"244",2021-11-28,0,"electric cars","UZ","today+5-y","web",0
"245",2021-12-05,9,"electric cars","UZ","today+5-y","web",0
"246",2021-12-12,46,"electric cars","UZ","today+5-y","web",0
"247",2021-12-19,9,"electric cars","UZ","today+5-y","web",0
"248",2021-12-26,12,"electric cars","UZ","today+5-y","web",0
"249",2022-01-02,32,"electric cars","UZ","today+5-y","web",0
"250",2022-01-09,21,"electric cars","UZ","today+5-y","web",0
"251",2022-01-16,10,"electric cars","UZ","today+5-y","web",0
"252",2022-01-23,0,"electric cars","UZ","today+5-y","web",0
"253",2022-01-30,9,"electric cars","UZ","today+5-y","web",0
"254",2022-02-06,9,"electric cars","UZ","today+5-y","web",0
"255",2022-02-13,9,"electric cars","UZ","today+5-y","web",0
"256",2022-02-20,28,"electric cars","UZ","today+5-y","web",0
"257",2022-02-27,0,"electric cars","UZ","today+5-y","web",0
"258",2022-03-06,0,"electric cars","UZ","today+5-y","web",0
"259",2022-03-13,9,"electric cars","UZ","today+5-y","web",0
"260",2022-03-20,31,"electric cars","UZ","today+5-y","web",0
"261",2022-03-27,0,"electric cars","UZ","today+5-y","web",0
"262",2017-04-02,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"263",2017-04-09,52,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"264",2017-04-16,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"265",2017-04-23,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"266",2017-04-30,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"267",2017-05-07,27,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"268",2017-05-14,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"269",2017-05-21,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"270",2017-05-28,30,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"271",2017-06-04,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"272",2017-06-11,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"273",2017-06-18,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"274",2017-06-25,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"275",2017-07-02,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"276",2017-07-09,28,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"277",2017-07-16,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"278",2017-07-23,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"279",2017-07-30,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
"280",2017-08-06,0,"<U+044D><U+043B><U+0435><U+043A><U+0442><U+0440><U+043E><U+043C><U+043E><U+0431><U+0438><U+043B><U+0438>","UZ","today+5-y","web",0
