,pgdp,gdp,pw,eri,LPrm,RS,RL,Natdebt,LNatdebt,m,LEmpUK,LKtotUK,Rna,E,pop,Un,wpop,RsUS,Pcpi,LW85,nh,w,Dpgdp,Dm,ppp,Ur,RLr,Dgdp,DUr,Ursq,Dpop,Wshare,Dpgfna,DpgfnaDp,ulc,gdppc,ulcp,ulcpm,er,RrDg
1929-1,-3.074589755,11.43431294,-2.026925959,1.580400374,2.63905733,0.0526,0.046,7500,8.9226583,7.869401713,9.877143577,6.04739537,0.046004893,4.8569,3.821485419,1500,20980,0.057800002,-3.538911028,-4.082249725,48.168,-3.870629385,-0.002484638,0.006134989,0.532736579,0.071496663,0.048484638,0.029178541,-0.002755988,0.005111773,0.002060275,0.095063614,-0.993864454,0.002469393,-5.427798749,1.482988059,-2.353208994,0.009391006,1.580400374,0.019306097
1930-1,-3.074046543,11.42686412,-2.072969898,1.581470443,2.46057468,0.0257,0.0446,7469,8.9185164,7.877776333,9.857967037,6.065178888,0.022056406,4.8621,3.825724102,2380,21490,0.0355,-3.567310503,-4.092560376,48.2126,-3.870631946,0.000543212,0.008374621,0.580393798,0.110749186,0.044056788,-0.007448824,0.039252522,0.012265382,0.004238683,0.093903982,-0.999705008,-0.000543052,-5.439529026,1.451521128,-2.365482483,-0.002882483,1.581470443,0.051505612
1931-1,-3.1065299,11.37409408,-2.201279346,1.511825084,2.1690537,0.0361,0.0453,7413,8.910990495,7.865571758,9.834673237,6.080918065,0.031085342,4.535,3.8302488,3250,21920,0.026300001,-3.61126239,-4.113506193,48.3018,-3.895947127,-0.032483357,-0.012204576,0.60657453,0.148266423,0.077783357,-0.052770036,0.037517238,0.021982932,0.004524698,0.097408863,-0.486578109,0.015805691,-5.435367972,1.37893934,-2.328838072,0.033761928,1.511825084,0.130553393
1932-1,-3.13994548,11.38194496,-2.323985152,1.254504309,1.865867679,0.0186,0.0376,7434,8.913819351,7.888334501,9.838949031,6.092990641,0.01587907,3.5061,3.835897615,3400,22150,0.0272,-3.637606366,-4.134892243,48.3018,-3.913192646,-0.033415581,0.022762743,0.438543981,0.153498871,0.071015581,0.007850874,0.005232448,0.023561904,0.005648815,0.098643485,-0.472455594,0.015787378,-5.45618857,1.37635218,-2.316243089,0.046356911,1.254504309,0.063164706
1933-1,-3.160872584,11.4108487,-2.337535495,1.443808267,1.778856584,0.0069,0.0338,7644,8.941676305,7.938802248,9.859013062,6.105483708,0.005955064,4.2368,3.839882328,3090,22220,0.0167,-3.658830002,-4.140316946,48.3018,-3.913189565,-0.020927104,0.050467747,0.620471178,0.139063906,0.054727104,0.028903746,-0.014434965,0.01933877,0.003984713,0.09984337,-0.695437534,0.014553493,-5.465025205,1.402100639,-2.304152621,0.058447379,1.443808267,0.025823357
1934-1,-3.162721025,11.47431828,-2.274106108,1.617267184,1.732336729,0.0082,0.0308,7822,8.964695555,7.941651253,9.887358171,6.123381274,0.007138549,5.0393,3.843015848,2610,22290,0.0088,-3.658830002,-4.129504664,48.2572,-3.913192646,-0.00184844,0.002849005,0.728652267,0.117092867,0.03264844,0.063469574,-0.02197104,0.013710739,0.00313352,0.096575352,-0.996594902,0.001842146,-5.500152751,1.462424849,-2.337431726,0.025168274,1.617267184,-0.030821134
1935-1,-3.156245702,11.51192656,-2.286992884,1.589602485,1.708238358,0.0058,0.0289,7800,8.961879013,7.976595409,9.904986429,6.141508664,0.004971429,4.9018,3.84733514,2440,22470,0.0075,-3.651854388,-4.113506193,48.2572,-3.904531184,0.006475323,0.034944156,0.720349667,0.10858923,0.022424677,0.03760828,-0.008503637,0.011791621,0.004319292,0.0948721,-0.959757552,-0.00621474,-5.511471311,1.491990191,-2.355225609,0.007374391,1.589602485,-0.015183603
1936-1,-3.156003356,11.55641564,-2.246326486,1.60360091,1.75586628,0.0061,0.0294,7796,8.961366061,8.03915739,9.936438653,6.161450035,0.005218452,4.9709,3.851869523,2100,22770,0.0075,-3.644878775,-4.087395527,48.2126,-3.879001908,0.000242345,0.062561981,0.69392404,0.092226614,0.029157655,0.044489082,-0.016362616,0.008505748,0.004534383,0.096041438,-0.999941272,-0.000242331,-5.498978893,1.523216479,-2.342975537,0.019624463,1.60360091,-0.015331428
1937-1,-3.120536466,11.59111053,-2.237646991,1.59817472,1.865867679,0.0058,0.0328,7797,8.961494323,8.084562415,9.969275293,6.182047551,0.00511344,4.944,3.85627771,1780,23140,0.0094,-3.611443998,-4.061949316,48.0788,-3.845936791,0.03546689,0.045405025,0.715285244,0.076923077,-0.00266689,0.034694888,-0.015303537,0.00591716,0.004408188,0.09563317,-0.442889356,-0.015707908,-5.467772024,1.541792525,-2.347235558,0.015364442,1.59817472,-0.037361778
1938-1,-3.080420676,11.60293565,-2.242597515,1.587069597,1.801328539,0.0064,0.0338,8026,8.990441551,8.079618029,9.972080344,6.202229337,0.005797274,4.8894,3.860603387,2160,23580,0.0086,-3.595570649,-4.022530381,48.0342,-3.806095542,0.04011579,-0.004944386,0.749246435,0.091603053,-0.00631579,0.011825128,0.014679977,0.008391119,0.004325677,0.094748414,-0.38324798,-0.015374296,-5.436950852,1.53478148,-2.356530175,0.006069825,1.587069597,-0.018140918
1939-1,-3.038306524,11.61307219,-2.250069511,1.489617803,2.079441542,0.0123,0.0372,8223,9.014690385,8.093156698,10.01054662,6.206575927,0.0113978,4.4354,3.866209407,1340,23600,0.0072,-3.567955482,-4.012913741,48.0342,-3.798307967,0.042114152,0.013538668,0.70138079,0.056779661,-0.004914152,0.010136539,-0.034823392,0.00322393,0.00560602,0.094181923,-0.360542024,-0.015183922,-5.400833535,1.544070202,-2.362527011,7.29891E-05,1.489617803,-0.015050691
1940-1,-2.952642404,11.7084529,-2.238882302,1.342864803,2.302585093,0.0104,0.034,8931,9.09728365,8.190631681,10.0471549,6.211603589,0.009860826,3.83,3.875898295,710,23800,0.0081,-3.412662598,-3.760541915,48.0342,-3.695281569,0.08566412,0.097474983,0.629104701,0.029831933,-0.05166412,0.095380704,-0.026947728,0.000889944,0.009688888,0.090361484,-0.119927927,-0.01027352,-5.356579564,1.631012037,-2.403937159,-0.041337159,1.342864803,-0.147044824
1941-1,-2.868551731,11.79552304,-2.162745647,1.394212926,2.48490665,0.0103,0.0313,11398,9.34119318,8.332067707,10.0837236,6.216606101,0.009618291,4.0318,3.875690916,250,24200,0.007,-3.31010601,-3.671670128,48.0342,-3.608264631,0.084090673,0.141436026,0.688406843,0.010330579,-0.052790673,0.087070143,-0.019501354,0.000106721,-0.000207379,0.08616318,-0.123896679,-0.010418555,-5.320064068,1.701415128,-2.451512337,-0.088912337,1.394212926,-0.139860817
1942-1,-2.799234837,11.81978988,-2.04001123,1.395006302,2.63905733,0.0103,0.0303,14073,9.552013347,8.473868067,10.11819563,6.221583712,0.009955806,4.035,3.879499814,110,24900,0.0069,-3.241513218,-3.553133081,48.0342,-3.534161773,0.069316894,0.141800359,0.635782695,0.004417671,-0.039016894,0.024266836,-0.005912908,1.95158E-05,0.003808898,0.087464596,-0.172270279,-0.011941241,-5.235756024,1.697166794,-2.436521187,-0.073921187,1.395006302,-0.06328373
1943-1,-2.754816195,11.84163162,-1.916279466,1.395006302,2.772588722,0.0103,0.031,16855,9.732402628,8.589699882,10.12743078,6.226536669,0.010437946,4.035,3.887504878,80,25100,0.0072,-3.208078442,-3.458096218,48.0342,-3.487636859,0.044418642,0.115831816,0.556469573,0.003187251,-0.013418642,0.021841742,-0.00123042,1.01586E-05,0.008005064,0.086550995,-0.336358798,-0.014940601,-5.201837693,1.711008493,-2.447021498,-0.084421498,1.395006302,-0.035260384
1944-1,-2.697112775,11.80132389,-1.844604402,1.395006302,2.890371758,0.0103,0.0314,19594,9.882978676,8.713088868,10.11577236,6.231465215,0.010642091,4.035,3.892146775,70,24800,0.0075,-3.181436511,-3.441749012,48.0342,-3.443188699,0.05770342,0.123388986,0.54249793,0.002822581,-0.02630342,-0.040307724,-0.00036467,7.96696E-06,0.004641898,0.087893673,-0.230963699,-0.013327395,-5.128740233,1.682724962,-2.431627459,-0.069027459,1.395006302,0.014004303
1945-1,-2.668447624,11.75663841,-1.801385259,1.393816003,2.772588722,0.0093,0.0292,22398,10.01672695,8.809564253,10.09410791,6.23636959,0.009780412,4.0302,3.895527703,100,24300,0.0075,-3.153821344,-3.447169766,47.9896,-3.395430321,0.02866515,0.096475385,0.526753637,0.004115226,0.00053485,-0.044685489,0.001292646,1.69351E-05,0.003380927,0.091674301,-0.548940566,-0.015735464,-5.057960814,1.658406776,-2.389513189,-0.026913189,1.393816003,0.045220339
1946-1,-2.619325111,11.71197279,-1.792644651,1.394460924,2.708050201,0.0053,0.026,24669,10.11330267,8.908694593,10.04324949,6.240275845,0.005383126,4.0328,3.896239092,400,23400,0.0081,-3.123292139,-3.407214646,47.0976,-3.311015543,0.049122513,0.099130339,0.567780464,0.017094017,-0.023122513,-0.044665617,0.012978791,0.000292205,0.000711389,0.094381167,-0.292995534,-0.014392677,-4.979738836,1.651481486,-2.360413725,0.002186275,1.394460924,0.021543104
1947-1,-2.544920142,11.69710526,-1.715039153,1.393418921,2.63905733,0.0053,0.0276,25631,10.15155784,8.991562278,10.0475879,6.24369815,0.005229421,4.0286,3.902356434,300,23400,0.0103,-3.055633491,-3.334226425,44.9122,-3.23316973,0.074404969,0.082867686,0.563537933,0.012820513,-0.046804969,-0.01486753,-0.004273504,0.000164366,0.006117342,0.096542983,-0.152996448,-0.011383696,-4.88268709,1.636613956,-2.337766949,0.024833051,1.393418921,-0.031937439
1948-1,-2.479329157,11.72869792,-1.651232968,1.394088905,2.658105471,0.0056,0.0321,25621,10.15116761,9.008591318,10.04585479,6.260923469,0.00513339,4.0313,3.912302966,300,23360,0.014400001,-2.981454092,-3.248228048,44.7784,-3.162078005,0.065590984,0.017029039,0.565992715,0.012842466,-0.033490984,0.031595051,2.19529E-05,0.000164929,0.009946532,0.093613979,-0.188601768,-0.012370576,-4.84790472,1.669919872,-2.368575563,-0.005975563,1.394088905,-0.065083643
1949-1,-2.450463004,11.76543362,-1.664368373,1.304867362,2.579634084,0.0063,0.033,25168,10.13332863,9.024010794,10.0471549,6.280007468,0.005759566,3.6872,3.918243617,270,23360,0.0149,-2.953838925,-3.206782236,44.6892,-3.131681722,0.028866154,0.015419476,0.518772732,0.011558219,0.004133846,0.032694192,-0.001284247,0.000133592,0.005940651,0.090312893,-0.545477906,-0.015745849,-4.854938055,1.702614063,-2.404475051,-0.041875051,1.304867362,-0.032601862
1950-1,-2.448483316,11.80101745,-1.645070717,1.029869386,2.629395086,0.0069,0.0355,25802,10.15820729,9.033841828,10.05492026,6.302521682,0.006269435,2.8007,3.923259637,330,23600,0.0145,-2.92330972,-3.160845498,44.6892,-3.107967843,0.001979688,0.009831035,0.226456787,0.013983051,0.033520312,0.031318225,0.002424832,0.000195526,0.00501602,0.089765072,-0.996096135,-0.00197196,-4.859042651,1.723710734,-2.410559336,-0.047959336,1.029869386,-0.002063517
1951-1,-2.360987943,11.81959365,-1.581599279,1.02947655,2.822979985,0.0091,0.0379,25922,10.16284731,9.04274978,10.06815417,6.322483531,0.008444697,2.7996,3.91780625,260,23840,0.021600001,-2.836215013,-3.067392018,44.6892,-3.029126085,0.087495373,0.008907951,0.250087885,0.01090604,-0.049595373,0.026916642,-0.003077011,0.000118942,-0.005453387,0.08851748,-0.115534273,-0.010108714,-4.785543177,1.740509246,-2.424555234,-0.061955234,1.02947655,-0.068171574
1952-1,-2.287740583,11.82731276,-1.569501112,1.026973062,2.704196786,0.0271,0.0423,25891,10.1616507,9.057655284,10.06730564,6.342861902,0.025609879,2.7926,3.920606065,370,23930,0.023299999,-2.748204136,-2.988780728,44.6446,-2.947809076,0.07324736,0.014905505,0.30873359,0.015461763,-0.03094736,0.000519097,0.004555723,0.000239066,0.002799815,0.088385113,-0.157104855,-0.011507516,-4.713792309,1.737260283,-2.426051726,-0.063451726,1.026973062,-0.038666462
1953-1,-2.255457642,11.86558034,-1.554425488,1.034144876,2.648627107,0.0277,0.0408,26051,10.16781143,9.088059737,10.0728083,6.365992,0.026670132,2.8127,3.923813227,360,24050,0.0252,-2.717674931,-2.930380952,44.6446,-2.902686225,0.032282941,0.030404453,0.333112722,0.014968815,0.008517059,0.037648655,-0.000492949,0.000224065,0.003207161,0.086641468,-0.489670813,-0.015808014,-4.70143438,1.769906844,-2.445976738,-0.083376738,1.034144876,-0.029750523
1954-1,-2.237730486,11.90682394,-1.540802911,1.032721743,2.686014522,0.0184,0.0376,26583,10.18802719,9.125762396,10.08747439,6.39090895,0.017933442,2.8087,3.927207141,310,24350,0.0158,-2.699835013,-2.867567283,44.6,-2.860671427,0.017727156,0.037702658,0.335794167,0.012731006,0.019872844,0.04029569,-0.002237809,0.000162079,0.003393914,0.08635694,-0.760889048,-0.013488399,-4.686996588,1.79780568,-2.449266102,-0.086666102,1.032721743,-0.021370754
1955-1,-2.200281119,11.94260177,-1.54201278,1.026507437,2.648627107,0.0375,0.0417,26934,10.20114471,9.131946305,10.09987637,6.414344057,0.038189487,2.7913,3.930766248,240,24580,0.021800001,-2.655818128,-2.785770259,44.6,-2.798904448,0.037449367,0.006183909,0.368239098,0.009764036,0.004250633,0.033998787,-0.00296697,9.53364E-05,0.003559107,0.086438306,-0.416240871,-0.015587957,-4.648605465,1.822403213,-2.448324345,-0.085724345,1.026507437,-0.031527199
1956-1,-2.141090417,11.95634767,-1.488532709,1.027319327,2.648627107,0.0505,0.0474,27039,10.20503555,9.124237673,10.10683648,6.437242512,0.054248283,2.7957,3.935426983,260,24770,0.033099999,-2.607980798,-2.7075633,44.6,-2.716572738,0.059190703,-0.007708632,0.37476162,0.010496568,-0.011790703,0.009239954,0.000732533,0.000110178,0.004660735,0.087863647,-0.22204758,-0.013143152,-4.573059543,1.823943028,-2.431969127,-0.069369127,1.028082522,-0.025536601
1957-1,-2.101188187,11.97303026,-1.464560214,1.029059631,2.658105471,0.0498,0.0498,27008,10.2038884,9.145588495,10.10479441,6.462138061,0.054342729,2.7932,3.94022166,330,24790,0.038099999,-2.571648869,-2.654519446,44.4662,-2.669260081,0.039902229,0.021350822,0.392431658,0.013311819,0.009897771,0.016439037,0.002815251,0.000177205,0.004794677,0.086614515,-0.385774504,-0.015393263,-4.547476056,1.839574963,-2.446287869,-0.083687869,1.027187892,-0.006784824
1958-1,-2.056313449,11.97093875,-1.420064218,1.045306285,2.599836731,0.0474,0.0498,27232,10.21214803,9.180293451,10.09534681,6.485962751,0.051444435,2.8098,3.944528917,450,24680,0.0246,-2.542090067,-2.620659949,44.4216,-2.626825685,0.044874738,0.034704956,0.409057053,0.018233387,0.004925262,0.003195343,0.004921568,0.000332456,0.004307257,0.085684117,-0.331813396,-0.014890039,-4.513401253,1.847217453,-2.457087803,-0.094487803,1.033113306,0.007016778
1959-1,-2.038973437,12.01058682,-1.421569539,1.047061603,2.599836731,0.0349,0.0482,27376,10.217422,9.222466552,10.08330598,6.51309709,0.03747216,2.8088,3.950397207,480,24420,0.0397,-2.536107995,-2.593678023,44.377,-2.603549388,0.017340012,0.042173101,0.429657704,0.01965602,0.030859988,0.041916002,0.001422632,0.000386359,0.00586829,0.081769992,-0.76883096,-0.013331538,-4.542818383,1.899724185,-2.503844946,-0.141244946,1.032757346,-0.008788085
1960-1,-2.021317011,12.06504465,-1.403323731,1.046457882,2.58978605,0.0505,0.0542,27733,10.23037832,9.258654232,10.09452105,6.541942022,0.054719962,2.8076,3.958372097,380,24590,0.038499999,-2.526157664,-2.537419769,43.3066,-2.531394548,0.017656427,0.03618768,0.428464603,0.015453436,0.036543573,0.051925287,-0.004202583,0.000238809,0.007974891,0.080700899,-0.762340735,-0.013460213,-4.538322574,1.944712084,-2.517005564,-0.154405564,1.032330026,-0.01791426
1961-1,-1.988950823,12.09157608,-1.383302036,1.042914858,2.569377232,0.0532,0.062,28252,10.24891953,9.280052984,10.10520316,6.575215203,0.058786943,2.8022,3.966643758,350,24820,0.0297,-2.492722888,-2.469741475,42.5484,-2.455729863,0.032366187,0.021398752,0.437266071,0.014101531,0.029633813,0.023069711,-0.001351905,0.000198853,0.00827166,0.081494546,-0.48838377,-0.015807121,-4.496170006,1.958471872,-2.507219183,-0.144619183,1.030404823,0.003102386
1962-1,-1.957416285,12.10592629,-1.370619815,1.038745388,2.55901486,0.0441,0.0598,28674,10.26374607,9.29880902,10.11009514,6.606900601,0.048213309,2.8078,3.975448407,470,25060,0.0326,-2.450621712,-2.43556741,42.4146,-2.405788117,0.031534538,0.018756036,0.451948918,0.018754988,0.028265462,0.010756231,0.004653457,0.00035175,0.00880465,0.081968536,-0.501397114,-0.015811327,-4.458836103,1.959604933,-2.501419818,-0.138819818,1.032401259,0.01391525
1963-1,-1.935817335,12.1446918,-1.349070778,1.036961729,2.599836731,0.0382,0.0558,29848,10.30387311,9.345570321,10.11172049,6.63965883,0.040842767,2.8,3.980653144,560,25190,0.0355,-2.430819085,-2.393954942,42.3254,-2.37052303,0.02159895,0.046761301,0.450215172,0.022231044,0.03420105,0.042088589,0.003476056,0.000494219,0.005204737,0.079898428,-0.681888871,-0.014728083,-4.462816433,1.996519381,-2.526999098,-0.164399098,1.029619417,-0.00456446
1964-1,-1.90540088,12.19876602,-1.342475847,1.035222811,2.629395086,0.0481,0.0603,30226,10.31645776,9.393494915,10.12543038,6.679608407,0.051776586,2.7921,3.986852146,400,25370,0.0397,-2.398351895,-2.310346008,41.8794,-2.305638577,0.030416455,0.047924594,0.472297778,0.015766654,0.029883545,0.053350921,-0.006464391,0.000248587,0.006199002,0.078591734,-0.519437141,-0.015799437,-4.448889624,2.042750018,-2.543488745,-0.180888745,1.026794001,-0.024190672
1965-1,-1.864339474,12.22778032,-1.329303948,1.034315897,2.629395086,0.0629,0.0642,30441,10.32354566,9.44951474,10.13499602,6.718899174,0.067921304,2.7959,3.993012957,350,25560,0.043800001,-2.351468309,-2.232383894,41.032,-2.226020421,0.041061406,0.056019825,0.499280371,0.013693271,0.023138594,0.022022097,-0.002073383,0.000187506,0.006160811,0.078486985,-0.372295407,-0.015286973,-4.409161943,2.057310859,-2.544822469,-0.182222469,1.028154058,-0.005875709
1966-1,-1.826149135,12.24679223,-1.288177177,1.03663087,2.63905733,0.0643,0.068,31341,10.35268242,9.489410468,10.13855967,6.758389293,0.07049214,2.793,3.998200702,360,25660,0.055500002,-2.313209597,-2.168351732,40.586,-2.150144283,0.038190339,0.039895727,0.498658912,0.014029618,0.029809661,0.019072418,0.000336347,0.00019683,0.005187745,0.07937959,-0.406751754,-0.015533987,-4.359663136,2.072478547,-2.533514001,-0.170914001,1.027116287,0.010797746
1967-1,-1.798418855,12.26852618,-1.232928544,1.034968082,2.609786664,0.0608,0.0669,31986,10.37305359,9.532133974,10.12502982,6.799615237,0.065718295,2.7504,4.003690194,560,25520,0.050999999,-2.288516984,-2.133523032,40.4968,-2.109436041,0.027730279,0.042723506,0.46947777,0.021943574,0.039169721,0.024340027,0.007913956,0.00048152,0.005489492,0.0774595,-0.565301226,-0.015675961,-4.356418915,2.102289475,-2.558000059,-0.195400059,1.011746356,0.017435773
1968-1,-1.767275563,12.31124764,-1.140582914,0.978535581,2.599836731,0.0742,0.0739,34194,10.43980547,9.601030195,10.11980788,6.841535185,0.079039567,2.3935,4.008223698,590,25420,0.059000001,-2.242588052,-2.058193032,40.4522,-2.039366053,0.031143292,0.06889622,0.351842932,0.023210071,0.042756708,0.041126493,0.001266497,0.000538707,0.004533504,0.076679667,-0.507638787,-0.015809543,-4.335394262,2.147342161,-2.568118698,-0.205518698,0.87275673,3.52461E-05
1969-1,-1.732141454,12.33565249,-1.106952621,0.940764819,2.63905733,0.0848,0.0888,33983,10.43361568,9.651043916,10.11980788,6.8809649,0.089176985,2.3901,4.012103607,580,25410,0.078299999,-2.189995602,-1.981819675,40.4076,-1.98785454,0.035134109,0.050013721,0.315575986,0.022825659,0.053665891,0.020532411,-0.000384412,0.000521011,0.003879909,0.075982724,-0.447546309,-0.015724141,-4.309390739,2.168268041,-2.577249285,-0.214649285,0.871335206,0.029261043
1970-1,-1.657004122,12.35578922,-1.101545431,0.93469941,2.708050201,0.0826,0.0916,33079,10.40665392,9.712811191,10.11658077,6.91965296,0.084858906,2.3959,4.014958583,620,25370,0.0771,-2.127960211,-1.867778879,40.3184,-1.8867671,0.075137332,0.061767276,0.379240719,0.024438313,0.016462668,0.02219664,0.001612654,0.000597231,0.002854976,0.076011323,-0.150475079,-0.011306296,-4.233877088,2.192040105,-2.576872966,-0.214272966,0.873758943,-0.003674065
1971-1,-1.552250337,12.37254849,-1.055508952,0.929472567,2.772588722,0.0641,0.0905,33442,10.41756787,9.820377646,10.10479441,6.956657675,0.063929345,2.4442,4.018363041,750,25210,0.051100001,-2.038119507,-1.761200737,40.1846,-1.760045818,0.104753785,0.107566454,0.432731182,0.029750099,-0.014253785,0.020701509,0.005311786,0.000885068,0.003404458,0.075262356,-0.083518777,-0.008748908,-4.13902553,2.219068247,-2.586775193,-0.224175193,0.893717871,-0.031013048
1972-1,-1.456159489,12.40010042,-0.961727265,0.916937615,2.890371758,0.0611,0.0911,35840,10.48681987,9.998888637,10.10356716,6.992108036,0.054996109,2.5008,4.021648413,840,25270,0.046900001,-1.969526716,-1.639960353,40.0954,-1.625469436,0.096090847,0.178510991,0.422505391,0.033240997,-0.004990847,0.035908498,0.003490898,0.001104964,0.003285372,0.075827742,-0.097718746,-0.009389877,-4.035450547,2.252599564,-2.579291057,-0.216691057,0.916610681,-0.032542778
1973-1,-1.379080317,12.4719193,-0.797173368,0.8406473,3.295836866,0.1043,0.1085,37156,10.52288054,10.23426503,10.12703102,7.027698983,0.095919586,2.451,4.024154546,600,25610,0.081499996,-1.881515838,-1.513261831,39.9616,-1.491668287,0.077079172,0.235376396,0.25874035,0.023428348,0.031420828,0.069487305,-0.009812649,0.000548888,0.002506132,0.076209685,-0.144067334,-0.011104591,-3.953347044,2.308721891,-2.574266726,-0.211666726,0.896496105,-0.040398057
1974-1,-1.223755198,12.45680802,-0.712853343,0.764792185,3.871201011,0.1306,0.1495,40448,10.60777248,10.40955186,10.12902823,7.060758009,0.113581649,2.3403,4.024726495,600,25660,0.098400002,-1.733095833,-1.349855358,39.9616,-1.309052697,0.155325119,0.175286826,0.25389033,0.023382697,-0.005825119,-0.013208155,-4.56515E-05,0.000546751,0.000571949,0.079669554,-0.039799581,-0.006181875,-3.753622966,2.293563277,-2.529867768,-0.167267768,0.850279126,0.009286164
1975-1,-0.981073765,12.44886587,-0.667256089,0.718434009,3.850147602,0.1062,0.1466,46404,10.74514094,10.50451944,10.12422822,7.091489987,0.093821645,2.2216,4.024333315,940,25880,0.063200002,-1.51637285,-1.114613574,39.917,-1.048693267,0.242681433,0.094967585,0.404616333,0.036321484,-0.096081433,-0.006240432,0.012938787,0.00131925,-0.00039318,0.081254886,-0.016696086,-0.00405183,-3.491238094,2.278785735,-2.510164329,-0.147564329,0.798227657,-0.088139287
1976-1,-0.843587927,12.47492734,-0.60484983,0.631701644,3.891820298,0.1119,0.1425,56572,10.94326944,10.57997167,10.11819563,7.120894675,0.080056091,1.8049,4.024154546,1300,26090,0.0607,-1.363245847,-0.97021893,39.917,-0.872041338,0.137485837,0.075452228,0.392963546,0.04982752,0.005014163,0.026005521,0.013506036,0.002482782,-0.000178769,0.081831559,-0.050245309,-0.006908018,-3.346680227,2.296709626,-2.5030923,-0.1404923,0.590505189,-0.021047306
1977-1,-0.727923999,12.50027094,-0.602906894,0.492943708,4.007333185,0.0789,0.1231,67166,11.11492245,10.67009428,10.11900208,7.14866016,0.057717396,1.7455,4.023689596,1400,26210,0.0572,-1.215982681,-0.884307654,39.917,-0.808530117,0.115663928,0.090122609,0.367926602,0.053414727,0.007436072,0.023464384,0.003587207,0.002853133,-0.00046495,0.075790513,-0.069550004,-0.008044427,-3.307706155,2.315585092,-2.579782156,-0.217182156,0.557041048,-0.017907529
1978-1,-0.613783013,12.52906877,-0.537260062,0.509758677,4.025351691,0.0895,0.1192,79180,11.27947902,10.78700713,10.12502982,7.175566222,0.066091551,1.9197,4.023474931,1380,26340,0.0726,-1.136619193,-0.763569556,39.917,-0.67623635,0.114140986,0.116912847,0.433235725,0.0523918,0.005059014,0.031794002,-0.001022928,0.002744901,-0.000214665,0.075441372,-0.071285163,-0.008136559,-3.198182474,2.342431415,-2.58439946,-0.22179946,0.652168924,-0.023738816
1979-1,-0.494478485,12.55657105,-0.456354684,0.538296168,4.262679877,0.1344,0.1138,86885,11.37234068,10.91859141,10.1396263,7.203107858,0.097705812,2.1223,4.024583539,1300,26627,0.1015,-1.020946917,-0.619896694,39.8724,-0.53490127,0.119304529,0.131584285,0.500172368,0.048817124,-0.005504529,0.026443191,-0.003574676,0.002383112,0.001108608,0.076056848,-0.065644492,-0.007831685,-3.070752698,2.357924903,-2.576274214,-0.213674214,0.752500406,-0.033006811
1980-1,-0.324807006,12.53595177,-0.318391548,0.600891547,4.605170186,0.1588,0.1186,95313,11.46492149,11.06682584,10.13693781,7.228098134,0.108701761,2.3281,4.026172782,1660,26919,0.1116,-0.869953123,-0.430782877,39.7386,-0.355649336,0.169671478,0.148234432,0.594476089,0.061847988,-0.051071478,-0.021039837,0.013030865,0.003825174,0.001589243,0.077663083,-0.033570103,-0.005695889,-2.88018226,2.329030153,-2.555375254,-0.192775254,0.845052484,-0.030452191
1981-1,-0.228687798,12.52439546,-0.204962417,0.703860198,4.644390899,0.1313,0.13,113036,11.63546163,11.21407459,10.10716282,7.246795644,0.081909981,2.0254,4.02656524,2520,27038,0.1468,-0.761827426,-0.310609463,39.7386,-0.234288479,0.096119208,0.147248742,0.680134817,0.094240838,0.033880792,-0.013314009,0.03239285,0.008881335,0.000392458,0.077502229,-0.097666721,-0.009387648,-2.786136386,2.319448884,-2.557448588,-0.194848588,0.705767212,0.045437099
1982-1,-0.16061266,12.54160873,-0.137450659,0.636813607,4.59511985,0.116,0.119,118390,11.68173954,11.31913438,10.08188475,7.265989007,0.067070827,1.7489,4.025976496,2920,26826,0.1222,-0.684454088,-0.220646574,39.694,-0.124951929,0.068075138,0.105059798,0.613651606,0.109445277,0.050924862,0.020708486,0.01520444,0.011978269,-0.000588744,0.077793402,-0.177486717,-0.012082433,-2.714311316,2.342403721,-2.553698656,-0.191098656,0.558987019,0.033711591
1983-1,-0.105552773,12.57814642,-0.08579689,0.60258145,4.510859507,0.0967,0.1024,127927,11.75921507,11.41079307,10.07559041,7.285780671,0.054164997,1.5158,4.027011028,3100,26856,0.0912,-0.637638026,-0.139262073,39.694,-0.039011408,0.055059886,0.091658683,0.582825567,0.117474634,0.047340114,0.035599274,0.00705228,0.013571681,0.001034532,0.076540647,-0.248041028,-0.013657111,-2.675486113,2.380630131,-2.569933339,-0.207333339,0.415943352,0.010802427
1984-1,-0.052869744,12.59811811,-0.023424736,0.579307206,4.49980967,0.0933,0.1016,142885,11.86979539,11.50569942,10.100944,7.307068168,0.050006323,1.3364,4.029308139,3160,27526,0.0999,-0.59764234,-0.081209976,39.694,0.018148914,0.052683029,0.094906353,0.549862198,0.12054292,0.048916971,0.026355077,6.45969E-05,0.013586736,0.002297112,0.076774304,-0.264865474,-0.013953915,-2.619755024,2.382851867,-2.56688528,-0.20428528,0.289979432,0.028945276
1985-1,0,12.63753358,0,0.515992103,4.442651256,0.1158,0.1011,158029,11.97053384,11.61579789,10.10536661,7.329224961,0.058449739,1.2976,4.032469159,3270,27744,0.0851,-0.551644925,0,39.694,0.12350943,0.052869744,0.110098468,0.515992103,0.116133721,0.048230256,0.035365643,0.001959049,0.014047276,0.003161019,0.078986427,-0.26349004,-0.013930651,-2.538479246,2.408724923,-2.538479246,-0.175879246,0.260516404,0.008814786
